feature,score,max,min,n_null,type
x1134,5,,,0,category
x895,5,,,4951,numeric
x320,5,,,84,category
x316,5,,,53,category
x448,5,,,14051,category
x450,5,,,14051,category
x620,4,,,19,numeric
x507,4,,,83,numeric
x688,4,,,19,numeric
x248,4,,,19,numeric
x303,4,,,186,category
x321,4,,,19,category
x1052,4,,,13298,category
x644,3,,,19,numeric
x451,3,,,14051,numeric
x922,3,,,4951,numeric
x728,3,,,19,numeric
x619,3,,,19,numeric
x776,2,,,19,numeric
x498,2,,,83,numeric
x501,2,,,83,numeric
x635,2,,,19,numeric
x812,2,,,19,numeric
x1038,2,,,4171,category
x318,2,,,19,category
x440,2,,,13998,category
x495,1,,,83,numeric
x775,1,,,19,numeric
x912,1,,,4951,numeric
x860,1,,,19,numeric
x723,1,,,19,numeric
x923,1,,,4951,numeric
x899,1,,,4951,numeric
x308,1,,,4191,category
