feature,score,max,min,n_null,type
x289,456,,,907,numeric
x126,454,,,131,numeric
x254,451,,,19,numeric
x373,451,,,19,numeric
x44,450,,,19,numeric
x84,450,,,92,numeric
x231,450,,,19,numeric
x132,448,,,131,numeric
x206,448,,,92,numeric
x1109,447,,,0,category
x366,445,,,92,numeric
x476,442,,,20,numeric
x246,441,,,19,numeric
x400,441,,,19,numeric
x66,441,,,130,numeric
x1026,440,,,19,numeric
x434,439,,,52,numeric
x483,438,,,20,numeric
x382,437,,,19,numeric
x361,434,,,0,numeric
x133,433,,,83,numeric
x74,429,,,19,numeric
x822,427,,,19,numeric
x1117,427,,,0,category
x270,424,,,19,numeric
x156,424,,,92,numeric
x866,422,,,19,numeric
x19,422,,,131,numeric
x22,422,,,131,numeric
x20,419,,,131,numeric
x435,418,,,52,numeric
x57,417,,,131,numeric
x176,416,,,92,numeric
x963,416,,,4421,numeric
x157,415,,,92,numeric
x766,412,,,19,numeric
x556,412,,,19,numeric
x81,410,,,92,numeric
x59,410,,,83,numeric
x1114,410,,,0,category
x304,408,,,19,numeric
x397,408,,,19,numeric
x106,408,,,19,numeric
x856,407,,,19,numeric
x77,407,,,19,numeric
x396,406,,,19,numeric
x141,405,,,130,numeric
x209,405,,,92,numeric
x68,403,,,130,numeric
x549,400,,,846,numeric
x62,400,,,83,numeric
x252,398,,,19,numeric
x153,398,,,19,numeric
x967,396,,,12142,numeric
x748,393,,,19,numeric
x241,392,,,19,numeric
x1055,392,,,4951,numeric
x111,392,,,19,numeric
x656,390,,,19,numeric
x557,389,,,19,numeric
x734,388,,,19,numeric
x215,388,,,131,numeric
x237,388,,,131,numeric
x299,387,,,19,numeric
x548,387,,,47,numeric
x89,387,,,131,numeric
x219,387,,,131,numeric
x184,386,,,131,numeric
x164,386,,,131,numeric
x73,385,,,19,numeric
x1138,382,,,0,category
x151,381,,,19,numeric
x471,380,,,20,numeric
x154,380,,,92,numeric
x91,380,,,83,numeric
x1019,378,,,19,numeric
x203,377,,,19,numeric
x780,377,,,44,numeric
x760,373,,,19,numeric
x499,373,,,19,numeric
x24,373,,,131,numeric
x173,373,,,19,numeric
x781,372,,,19,numeric
x601,372,,,19,numeric
x1009,371,,,19,numeric
x124,370,,,131,numeric
x868,367,,,19,numeric
x306,367,,,19,numeric
x214,367,,,131,numeric
x477,366,,,20,numeric
x427,366,,,52,numeric
x61,366,,,83,numeric
x296,365,,,19,numeric
x558,363,,,19,numeric
x143,362,,,130,numeric
x36,362,,,19,numeric
